Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
32183,3919,3164,,,हलसूकरयोः पुवः ।,हलसूकरयोः ७/२ पुवः ५/१
32184,348,3165,,,अर्तिलूधूसूखनसहचर इत्रः ।,अर्तिलूधूसूखनसहचरः ५/१ इत्रः १/१
32185,2399,3166,,,पुवः संज्ञायाम् ।,पुवः ५/१ संज्ञायाम् ७/१
32186,993,3167,,,कर्तरि चर्षिदेवतयोः ।,कर्तरि ७/१ च ०/० ऋषिदेवतयोः ७/२
32187,1553,3088,,,ञीतः क्तः ।,ञीतः ५/१ क्तः १/१
32188,2714,3089,,,मतिबुद्धिपूजार्थेभ्यश्च ।,मतिबुद्धिपूजार्थेभ्यः ५/३ च ०/०
33001,706,3169,,,उणादयो बहुलम् ।,उणादयः १/३ बहुलम् १/१
33002,2693,3170,,,भूतेऽपि दृश्यन्ते ।,भूते ७/१ अपि ०/० दृश्यन्ते (क्रियापदम्)
33003,2651,3171,अधिकारः,,भविष्यति गम्यादयः ।,भविष्यति ७/१ गम्यादयः १/३
33004,2858,2783,,,यावत्पुरानिपातयोर्लट् ।,यावत्पुरानिपातयोः ७/२ लट् १/१
33005,3185,2784,,,विभाषा कदाकर्ह्योः ।,विभाषा १/१ कदाकर्ह्योः ७/२
33006,1082,2785,,,किंवृत्ते लिप्सायाम् ।,किंवृत्ते ७/१ लिप्सायाम् ७/१
33007,3000,2786,,,लिप्स्यमानसिद्धौ च ।,लिप्स्यमानसिद्धौ ७/१ च ०/०
33008,3026,2787,,,लोडर्थलक्षणे च ।,लोडर्थलक्षणे ७/१ च ०/०
33009,2983,2788,,,लिङ् चोर्ध्वमौहूर्तिके ।,लिङ् १/१ च ०/० ऊर्ध्वमौहूर्तिके ७/१
33010,1755,3175,,,तुमुन्ण्वुलौ क्रियायां क्रियार्थायाम्‌ ।,तुमुन्ण्वुलौ १/२ क्रियायाम् ७/१ क्रियार्थायाम् ७/१
33011,2662,3180,,,भाववचनाश्च ।,भाववचनाः १/३ च ०/०
33012,91,3181,,,अण् कर्मणि च ।,अण् १/१ कर्मणि ७/१ च ०/०
33013,3020,2193,,,लृट् शेषे च ।,लृट् १/१ शेषे ७/१ च ०/०
33014,3019,3107,,,लृटः सद् वा ।,लृटः ६/१ सत् १/१ वा ०/०
33015,174,2185,,,अनद्यतने लुट् ।,अनद्यतने ७/१ लुट् १/१
33016,2283,3182,,,पदरुजविशस्पृशो घञ् ।,पदरुजविशस्पृशः ५/१ घञ् १/१
33017,3779,3183,,,सृ स्थिरे ।,सृ (लुप्तपञ्चम्यन्तनिर्देशः) स्थिरे ७/१
33018,2663,3184,अधिकारः,,भावे ।,भावे ७/१
33019,8,3186,अधिकारः,,अकर्तरि च कारके संज्ञायाम् ।,अकर्तरि ७/१ च ०/० कारके ७/१ संज्ञायाम् ७/१
33020,2315,3190,,,परिमणाख्यायां सर्वेभ्यः ।,परिमणाख्यायाम् ७/१ सर्वेभ्यः ५/३
33021,606,3191,,,इङश्च ।,इङः ५/१ च ०/०
33022,793,3192,,,उपसर्गे रुवः ।,उपसर्गे ७/१ रुवः ५/१
33023,3648,3194,,,समि युद्रुदुवः ।,समि ७/१ युद्रुदुवः ५/१
33024,3452,3195,,,श्रिणीभुवोऽनुपसर्गे ।,श्रिणीभुवः ५/१ अनुपसर्गे ७/१
33025,3319,3196,,,वौ क्षुश्रुवः ।,वौ ७/१ क्षुश्रुवः ५/१
33026,397,3197,,,अवोदोर्नियः ।,अवोदोः ७/२ नियः ५/१
33027,2555,3198,,,प्रे द्रुस्तुस्रुवः ।,प्रे ७/१ द्रुस्तुस्रुवः ५/१
33028,2196,3199,,,निरभ्योः पूल्वोः ।,निरभ्योः ७/२ पूल्वोः ६/२
33029,752,3200,,,उन्न्योर्ग्रः ।,उन्न्योः ७/२ ग्रः ५/१
33030,1160,3201,,,कॄ धान्ये ।,कॄ (लुप्तपञ्चम्यन्तनिर्देशः) धान्ये ७/१
33031,2821,3202,,,यज्ञे समि स्तुवः ।,यज्ञे ७/१ समि ७/१ स्तुवः ५/१
33032,2559,3203,,,प्रे स्त्रोऽयज्ञे ।,प्रे ७/१ स्त्रः ५/१ अयज्ञे ७/१
